id,x,y,z
1002,54,0,
1003,72,,
1004,84,0,
1005,96,,
1006,108,0,
1007,120,,
1008,126,0,
1009,132,,
1010,138,0,
1011,150,,
1012,162,0,
1000,120,0,
2000,,0,
2001,,,
