id,NAME
2,2
3,2C
4,3
5,3C
6,4
7,4C
8,5
9,5C
10,6
11,6C
12,7
13,7C
14,8
15,8C
16,9
17,9C
18,10
19,10C
20,11
21,11C
22,12
23,12C
24,LS
25,LN
26,LSC
27,LNC
